c_elementvalue_id;ad_client_id;ad_org_id;isactive;created;createdby;updated;updatedby;value;name;description;accounttype;accountsign;isdoccontrolled;c_element_id;issummary;validfrom;validto;postactual;postbudget;postencumbrance;poststatistical;isbankaccount;c_bankaccount_id;isforeigncurrency;c_currency_id;showelement;showvaluecond;elementlevel;nomanualacct;datevuseauto
;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;30;Aufw.f.d.Ingangsetzen e.Betr.;Aufw.f.d.Ingangsetzen e.Betr.;A;N;N;D871D9715A904125974B545FC0FF0681;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;40;Aufw.f.d.Erweitern e.Betriebes;Aufw.f.d.Erweitern e.Betriebes;A;N;N;D871D9715A904125974B545FC0FF0682;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;90;Kum.Afa f.Ingangs.u.Erw.e.Betriebes;Kum.Afa f.Ingangs.u.Erw.e.Betriebes;A;N;N;D871D9715A904125974B545FC0FF0683;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;100;Konzessionen;Konzessionen;A;N;N;D871D9715A904125974B545FC0FF0684;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;110;Patentrechte;Patentrechte;A;N;N;D871D9715A904125974B545FC0FF0685;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;115;Lizenzen;Lizenzen;A;N;N;D871D9715A904125974B545FC0FF0686;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;120;Datenverarbeitungsprogramme;Datenverarbeitungsprogramme;A;N;N;D871D9715A904125974B545FC0FF0687;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;130;Vorteile;Vorteile;A;N;N;D871D9715A904125974B545FC0FF0688;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;140;Marken,Warenz.u.Musterschutzrecht;Marken,Warenz.u.Musterschutzrecht;A;N;N;D871D9715A904125974B545FC0FF0689;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;150;Urheberrechte;Urheberrechte;A;N;N;D871D9715A904125974B545FC0FF0690;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
